short_name,region_code,station_id,long_name,label,lat,lon,station_type
Monza Sobborghi,1,S01480,MONZA SOBBORGHI,,45.582082,9.284375,3
Morbegno,1,S01425,MORBEGNO,,46.136663,9.568646,3
Morengo Bariano,1,S01710,MORENGO BARIANO,,45.521639,9.703114,3
Mornago Cimbro,1,S01144,MORNAGO CIMBRO,,45.729742,8.734193,3
Mortara,1,S00034,MORTARA,,45.252171,8.731639,3
Motteggiana,1,S02339,MOTTEGGIANA,,45.029685,10.755439,3
Buttafava,1,S01482,BUTTAFAVA,,45.62141,9.301185,3
Calcio,1,S01712,CALCIO,,45.532937,9.841342,3
Calde',1,S01117,CALDE`,,45.945812,8.663157,3
Calolziocorte O.,1,S01524,CALOLZIOCORTE OLGINATE,,45.801619,9.42698,3
Calusco,1,S01503,CALUSCO,,45.684113,9.470646,3
Calvisano,1,S01843,CALVISANO,,45.346572,10.349411,3
Pavia P.Garib.,1,S01861,PAVIA PORTA GARIBALDI,Pavia,45.183996,9.167331,3
Remedello Sopra,1,S01845,REMEDELLO SOPRA,,45.27848,10.379211,3
Remedello Sotto,1,S01846,REMEDELLO SOTTO,,45.257477,10.388402,3
Revere,1,S05305,REVERE,,45.049863,11.130884,3
Revere Scalo,1,S05306,REVERE SCALO,,45.040431,11.129847,3
Rho,1,S01037,RHO,,45.523813,9.043563,3
Robecco P.,1,S01904,ROBECCO-PONTEVICO,,45.266224,10.078593,3
Gonzaga-Reggiolo,1,S02344,GONZAGA-REGGIOLO,Gonzaga,44.939239,10.815533,3
Gropello Cairoli,1,S00277,GROPELLO CAIROLI,,45.173101,8.991626,3
Grumello D.M.,1,S01537,GRUMELLO DEL MONTE,,45.634102,9.862767,3
Induno Olona,1,S01204,INDUNO OLONA,,45.846432,8.838357,3
Ispra,1,S01121,ISPRA,,45.811573,8.621338,3
Lambrinia,1,S01869,LAMBRINIA,,45.164376,9.527436,3
Laveno Mombello,1,S01118,LAVENO MOMBELLO,,45.903272,8.624583,3
Lecco,1,S01520,LECCO,Lecco,45.856471,9.393638,3
Lecco Maggianico,1,S01522,LECCO MAGGIANICO,,45.831179,9.411691,3
Leggiuno Monval.,1,S01120,LEGGIUNO MONVALLE,,45.867349,8.629476,3
Legnano,1,S01033,LEGNANO,,45.593653,8.910638,3
Bagnolo Mella,1,S01901,BAGNOLO MELLA,,45.428532,10.183617,3
Bellano T.Terme,1,S01409,BELLANO TARTAVELLE TERME,,46.039448,9.302776,3
S.Stefano Lodig.,1,S01829,S.STEFANO LODIGIANO,,45.122091,9.723606,3
S. Zeno Folzano,1,S01900,S. ZENO FOLZANO,,45.491552,10.211683,3
S. Zenone al L.,1,S01823,S. ZENONE AL LAMBRO,,45.337824,9.36126,3
Sairano Zinasco,1,S00400,SAIRANO ZINASCO,,45.133795,9.030153,3
Sala al Barro,1,S01461,SALA AL BARRO-GALBIATE,,45.821086,9.359223,3
Samolaco,1,S01402,SAMOLACO,,46.246436,9.423582,3
Cologne,1,S01539,COLOGNE,,45.576627,9.935316,3
Como S.Giovanni,1,S01307,COMO S. GIOVANNI,Como,45.808946,9.072331,3
Secugnago,1,S01826,SECUGNAGO,,45.223253,9.58684,3
Seregno,1,S01318,SEREGNO,,45.64601,9.20285,3
Seriate,1,S01533,SERIATE,,45.683145,9.724628,3
Sesto Calende,1,S01026,SESTO CALENDE,,45.726241,8.628135,3
Sesto S.Giovanni,1,S01325,SESTO S. GIOVANNI,,45.541087,9.23926,3
Somma Lombardo,1,S01028,SOMMA LOMBARDO,,45.686423,8.712991,3
Sondrio,1,S01430,SONDRIO,Sondrio,46.167064,9.872928,3
Soresina,1,S01607,SORESINA,,45.283083,9.85664,3
Stradella,1,S01945,STRADELLA,,45.079465,9.300865,3
Suzzara,1,S02340,SUZZARA,,44.994432,10.756138,3
Taino Angera,1,S01122,TAINO ANGERA,,45.772269,8.60599,3
Talamona,1,S01426,TALAMONA,,46.13952,9.599528,3
Ternate V.B.,1,S01143,TERNATE VARANO BORGHI,,45.781835,8.700371,3
Terno,1,S01504,TERNO,,45.688658,9.536169,3
Ferrera Lomell.,1,S00404,FERRERA LOMELLINA,,45.111807,8.862805,3
Fiumelatte,1,S01412,FIUMELATTE,,45.999017,9.292857,3
Parabiago,1,S01035,PARABIAGO,,45.552441,8.946319,3
Parona Lomellina,1,S01060,PARONA LOMELLINA,,45.280107,8.780315,3
Pavia,1,S01860,PAVIA,Pavia,45.188843,9.144674,3
Milano Centrale,1,S01700,MILANO CENTRALE,Milano,45.486347,9.204528,1
Milano Romolo,1,S01032,MILANO ROMOLO,,45.445008,9.168933,3
SEVESO,1,S01925,SEVESO,,45.648187,9.140488,3
SARONNO,1,S01933,SARONNO,,45.625309,9.030839,3
Mariano Comense,1,S01089,MARIANO COMENSE,,45.693622,9.18147,3
ASSO,1,S01101,ASSO,,45.855228,9.268513,3
Cozzo,1,S00332,COZZO,,45.182989,8.603292,3
Cremona,1,S01915,CREMONA,Cremona,45.143215,10.017951,3
Cucciago,1,S01312,CUCCIAGO,,45.740813,9.082205,3
Delebio,1,S01422,DELEBIO,,46.13865,9.461168,3
Desenzano,1,S02084,DESENZANO,,45.462677,10.536322,3
Dorio,1,S01407,DORIO,,46.102756,9.319063,3
Nogara,1,S05310,NOGARA,,45.179937,11.070572,4
Novara,1,S00248,NOVARA,Novara,45.451376,8.624895,4
Oggiono,1,S01460,OGGIONO,,45.788993,9.33748,3
Olcio,1,S01414,OLCIO,,45.938011,9.313898,3
Oleggio,1,S00984,OLEGGIO,,45.598029,8.632586,4
Olevano,1,S00036,OLEVANO,,45.212119,8.71182,3
